tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P
0,1184.0,496.0,7490.0,497.0,515.0,516.0,4384.0,518.0,2255.0,2256.0,2717.0,2257.0,2258.0,2259.0,2260.0,2261.0,4469.0,2262.0,2264.0,2265.0,2266.0,2269.0,2270.0
5011991,43200.0,43299.0,43320.0,43355.0,43471.0,43560.0,43585.0,43601.0,43637.0,43662.0,43677.0,43687.0,43707.0,43722.0,43751.0,43770.0,43791.0,43821.0,43871.0,43905.0,43951.0,44035.0,44160.0
5013923,25200.0,25299.0,25320.0,25355.0,25471.0,25560.0,25588.0,25605.0,25645.0,25673.0,25689.0,25699.0,25721.0,25738.0,25769.0,25790.0,25814.0,25847.0,25902.0,25940.0,25991.0,26083.0,26220.0
5013925,28800.0,28948.0,28980.0,29033.0,29207.0,29340.0,29373.0,29393.0,29440.0,29473.0,29492.0,29504.0,29530.0,29550.0,29587.0,29611.0,29639.0,29678.0,29742.0,29787.0,29847.0,29956.0,30120.0
5013929,36000.0,36099.0,36120.0,36155.0,36271.0,36360.0,36388.0,36405.0,36445.0,36473.0,36489.0,36499.0,36521.0,36538.0,36569.0,36590.0,36614.0,36647.0,36702.0,36740.0,36791.0,36883.0,37020.0
5013931,39600.0,39699.0,39720.0,39755.0,39871.0,39960.0,39988.0,40005.0,40045.0,40073.0,40089.0,40099.0,40121.0,40138.0,40169.0,40190.0,40214.0,40247.0,40302.0,40340.0,40391.0,40483.0,40620.0
5013933,43200.0,43299.0,43320.0,43355.0,43471.0,43560.0,43588.0,43605.0,43645.0,43673.0,43689.0,43699.0,43721.0,43738.0,43769.0,43790.0,43814.0,43847.0,43902.0,43940.0,43991.0,44083.0,44220.0
5013935,46800.0,46899.0,46920.0,46955.0,47071.0,47160.0,47188.0,47205.0,47245.0,47273.0,47289.0,47299.0,47321.0,47338.0,47369.0,47390.0,47414.0,47447.0,47502.0,47540.0,47591.0,47683.0,47820.0
5013937,50400.0,50499.0,50520.0,50555.0,50671.0,50760.0,50788.0,50805.0,50845.0,50873.0,50889.0,50899.0,50921.0,50938.0,50969.0,50990.0,51014.0,51047.0,51102.0,51140.0,51191.0,51283.0,51420.0
5013939,54000.0,54107.0,54130.0,54161.0,54263.0,54342.0,54357.0,54366.0,54387.0,54402.0,54411.0,54417.0,54428.0,54437.0,54454.0,54465.0,54477.0,54495.0,54524.0,54544.0,54571.0,54620.0,54692.0
5013941,57600.0,57707.0,57730.0,57761.0,57863.0,57942.0,57957.0,57966.0,57987.0,58002.0,58011.0,58017.0,58028.0,58037.0,58054.0,58065.0,58077.0,58095.0,58124.0,58144.0,58171.0,58220.0,58292.0
5013943,61200.0,61348.0,61380.0,61433.0,61607.0,61740.0,61773.0,61793.0,61840.0,61873.0,61892.0,61904.0,61930.0,61950.0,61987.0,62011.0,62039.0,62078.0,62142.0,62187.0,62247.0,62356.0,62520.0
5013945,64800.0,64899.0,64920.0,64955.0,65071.0,65160.0,65188.0,65205.0,65245.0,65273.0,65289.0,65299.0,65321.0,65338.0,65369.0,65390.0,65414.0,65447.0,65502.0,65540.0,65591.0,65683.0,65820.0
5013947,68400.0,68499.0,68520.0,68555.0,68671.0,68760.0,68785.0,68801.0,68837.0,68862.0,68877.0,68887.0,68907.0,68922.0,68951.0,68970.0,68991.0,69021.0,69071.0,69105.0,69151.0,69235.0,69360.0
5083772,28800.0,28948.0,28980.0,29033.0,29207.0,29340.0,29373.0,29393.0,29440.0,29473.0,29492.0,29504.0,29530.0,29550.0,29587.0,29611.0,29639.0,29678.0,29742.0,29787.0,29847.0,29956.0,30120.0
5083774,32400.0,32499.0,32520.0,32564.0,32709.0,32820.0,32850.0,32869.0,32913.0,32943.0,32961.0,32972.0,32996.0,33014.0,33048.0,33070.0,33096.0,33132.0,33192.0,33233.0,33288.0,33388.0,33540.0
5083782,46800.0,46899.0,46920.0,46955.0,47071.0,47160.0,47188.0,47205.0,47245.0,47273.0,47289.0,47299.0,47321.0,47338.0,47369.0,47390.0,47414.0,47447.0,47502.0,47540.0,47591.0,47683.0,47820.0
5083786,54000.0,54103.0,54125.0,54155.0,54254.0,54329.0,54343.0,54352.0,54372.0,54386.0,54394.0,54399.0,54410.0,54418.0,54434.0,54444.0,54456.0,54473.0,54501.0,54520.0,54546.0,54593.0,54666.0
5083788,57600.0,57703.0,57725.0,57755.0,57854.0,57929.0,57943.0,57952.0,57972.0,57986.0,57994.0,57999.0,58010.0,58018.0,58034.0,58044.0,58056.0,58073.0,58101.0,58120.0,58146.0,58193.0,58266.0
5083794,68400.0,68499.0,68520.0,68555.0,68671.0,68760.0,68785.0,68801.0,68837.0,68862.0,68877.0,68887.0,68907.0,68922.0,68951.0,68970.0,68991.0,69021.0,69071.0,69105.0,69151.0,69235.0,69360.0
